Unnamed: 0,price,full_address,zipcode,beds,baths,latitude,longitude
3429,384900,"1617 21st Pl SE APT 104, Washington, DC 20020",20020,2,3,38.87018,-76.97613
3430,949900,"2826 Pennsylvania Ave SE, Washington, DC 20020",20020,4,2,38.87223,-76.96669
3431,359000,"1622 17th St SE #5, Washington, DC 20020",20020,2,1,38.87002,-76.98052
3432,129000,"2841 Gainesville St SE APT 203, Washington, DC 20020",20020,2,1,38.8549,-76.96706
3433,490000,"3551 Texas Ave SE, Washington, DC 20020",20020,3,3,38.86909,-76.95284
3434,995000,"1216 W W St SE, Washington, DC 20020",20020,3,1,38.86498,-76.98905
3435,359000,"1622 17th St SE APT 3, Washington, DC 20020",20020,2,1,38.87002,-76.98052
3436,369000,"1622 17th St SE #6, Washington, DC 20020",20020,2,1,38.87002,-76.98052
3437,359000,"1622 17th St SE APT 2, Washington, DC 20020",20020,2,1,38.87002,-76.98052
3438,500000,"1311 Maple View Pl SE, Washington, DC 20020",20020,4,4,38.86248,-76.98944
3439,549900,"1604 25th St SE, Washington, DC 20020",20020,4,3,38.87021,-76.97069
3440,995000,"1216 W St SE, Washington, DC 20020",20020,3,1,38.865017,-76.98905
3441,129000,"2900 Pomeroy Rd SE APT 101, Washington, DC 20020",20020,1,1,38.856625,-76.996376
3442,157000,"2042 Fort Davis St SE APT 302, Washington, DC 20020",20020,1,1,38.86304,-76.95016
3444,323000,"2202 U Pl SE, Washington, DC 20020",20020,2,2,38.8655,-76.97573
3445,105000,"3111 Naylor Rd SE APT 301, Washington, DC 20020",20020,1,1,38.852,-76.96344
3446,400000,"1385 Morris Rd SE, Washington, DC 20020",20020,4,4,38.86064,-76.98883
3447,359000,"1622 17th St SE APT 1, Washington, DC 20020",20020,2,1,38.87002,-76.98052
3448,215000,"3956 Pennsylvania Ave SE APT 302, Washington, DC 20020",20020,2,1,38.864994,-76.94886
3449,430000,"2201 T Pl SE, Washington, DC 20020",20020,2,4,38.8658,-76.9756
3450,349000,"1622 17th St SE APT 4, Washington, DC 20020",20020,2,1,38.87002,-76.98052
3451,160000,"2906 Pomeroy Rd SE APT 101, Washington, DC 20020",20020,2,1,38.85664,-76.99683
3452,175000,"3812 V St SE APT 302, Washington, DC 20020",20020,2,1,38.864765,-76.951324
3453,469000,"1480 Bangor St SE, Washington, DC 20020",20020,4,3,38.86071,-76.9846
